Talla	Inserción	Quicksort	Selección		Inserción	Coste mejor	Coste peor	Quicksort	Coste mejor	Coste peor
10	58	64	54			27	143,5		11	87,5
210	22202	3310	22344			627	44943,5		489,99	38587,5
410	83929	7229	84642			1227	169743,5		1073,85	147087,5
610	186533	11522	186939			1827	374543,5		1701,84	325587,5
810	328317	16010	329239			2427	659343,5		2358,78	574087,5
1010	512806	20524	511541			3027	1024143,5		3037,37	892587,5
1210	732161	25292	733839			3627	1468943,5		3733,25	1281087,5
1410	997559	30059	996138			4227	1993743,5		4443,55	1739587,5
1610	1296950	35252	1298439			4827	2598543,5		5166,20	2268087,5
1810	1644082	39997	1640737			5427	3283343,5		5899,66	2866587,5
2010	2017838	45297	2023038			6027	4048143,5		6642,73	3535087,5
2210	2439639	50303	2445338			6627	4892943,5		7394,45	4273587,5
2410	2911597	55192	2907636			7227	5817743,5		8154,04	5082087,5
2610	3416970	60540	3409936			7827	6822543,5		8920,85	5960587,5
2810	3948796	66003	3952237			8427	7907343,5		9694,31	6909087,5
3010	4531458	71076	4534536			9027	9072143,5		10473,96	7927587,5
3210	5152550	76270	5156835			9627	10316943,5		11259,39	9016087,5
3410	5821114	82077	5819136			10227	11641743,5		12050,23	10174587,5
3610	6508226	87342	6521435			10827	13046543,5		12846,16	11403087,5
3810	7269256	92665	7263735			11427	14531343,5		13646,91	12701587,5
4010	8054756	98115	8046037			12027	16096143,5		14452,21	14070087,5
4210	8872261	103602	8868336			12627	17740943,5		15261,85	15508587,5
4410	9742933	109363	9730637			13227	19465743,5		16075,62	17017087,5
4610	10616456	114323	10632936			13827	21270543,5		16893,32	18595587,5
4810	11581930	121246	11575236			14427	23155343,5		17714,80	20244087,5
