Talla	Insercion	Seleccion	Quicksort
10	0.000000	0.000000	0.000000
210	0.000380	0.000070	0.000000
410	0.001150	0.000130	0.000010
610	0.002930	0.000210	0.000020
810	0.004710	0.000200	0.000050
1010	0.006880	0.000280	0.000060
1210	0.009870	0.000340	0.000080
1410	0.012870	0.000370	0.000120
1610	0.017310	0.000440	0.000150
1810	0.021950	0.000580	0.000200
2010	0.026550	0.000660	0.000230
2210	0.031610	0.000620	0.000290
2410	0.037740	0.000820	0.000340
2610	0.045350	0.000770	0.000400
2810	0.051990	0.000810	0.000700
3010	0.059740	0.000970	0.000530
3210	0.068410	0.001080	0.000610
3410	0.075920	0.001070	0.000900
3610	0.085400	0.001240	0.000790
3810	0.098270	0.001290	0.001050
4010	0.105200	0.001210	0.001110
4210	0.114790	0.001380	0.001220
4410	0.126950	0.001550	0.001340
4610	0.142470	0.001540	0.001360
4810	0.148880	0.001640	0.001490
